날짜,미디어명,노출수,클릭수,클릭률(CTR),수입예정액(원)
20260701,호동과세공주의 관심,1357,6,0.44,1788
20260701,-,,,,
20260702,호동과세공주의 관심,2028,13,0.64,6510
20260702,-,,,,
20260703,호동과세공주의 관심,2885,17,0.59,3403
20260703,-,,,,
20260704,호동과세공주의 관심,2746,13,0.47,2374
20260704,-,,,,
20260705,호동과세공주의 관심,2856,17,0.6,5471
20260705,-,,,,
20260706,호동과세공주의 관심,3173,20,0.63,5657
20260706,-,,,,
20260707,호동과세공주의 관심,3231,17,0.53,6142
20260707,-,,,,
20260708,호동과세공주의 관심,2968,17,0.57,4233
20260708,-,,,,
20260709,호동과세공주의 관심,2922,9,0.31,4416
20260709,-,,,,
20260710,호동과세공주의 관심,3083,18,0.58,4158
20260710,-,,,,
20260711,호동과세공주의 관심,3043,10,0.33,2063
20260711,-,,,,
20260712,호동과세공주의 관심,3410,23,0.67,5157
20260712,-,,,,
20260713,호동과세공주의 관심,3927,9,0.23,2483
20260713,-,,,,
20260714,호동과세공주의 관심,3446,20,0.58,5188
20260714,-,,,,
20260715,호동과세공주의 관심,3557,10,0.28,2987
20260715,-,,,,
20260716,호동과세공주의 관심,4013,16,0.4,4128
20260716,-,,,,
20260717,호동과세공주의 관심,3804,14,0.37,4880
20260717,-,,,,
20260718,호동과세공주의 관심,3571,18,0.5,5207
20260718,-,,,,
20260719,호동과세공주의 관심,3823,18,0.47,4759
20260719,-,,,,
