week_start,week_end,coverage,top100_sum,top100_median,top1_views,adpost_daily_avg_krw,adpost_ctr_pct,adpost_cpc_krw,ai_citations_cum,ai_citations_week_delta,travel_share_top100_pct,sprint_posts_cum,notes
2026-06-08,2026-06-14,top100,9917,68,507,,,,,,,,
2026-06-15,2026-06-21,top200,9028,67,423,,,,,,,,
2026-06-22,2026-06-28,top200,8017,55,296,,,,,,,,
2026-06-29,2026-07-05,top200,11161,78,426,,,,,,,,
2026-07-06,2026-07-12,top260,15589,107,775,,,,,,,,
2026-07-13,2026-07-19,top240,19303,133,892,,,,,,,,
2026-07-20,2026-07-26,rank21-200,13528,109,365,,,,,,,,커버리지 rank21-200 — top100 합계 과소(1~20위 결손)
2026-07-27,2026-08-02,top240,23361,131,1255,5478,0.47,269,,,,,"애드포스트 7/27~8/2 주 38,344원(분석_20260802). 7/1~8/2 전체 CTR 0.47%·CPC 269원"
2026-08-10,2026-08-16,top240,19512,152,804,,,,,,67.4,,
2026-08-24,2026-08-30,top240,12836,93,676,,,,,,53.3,,
2026-08-31,2026-09-06,top200,9910,68,642,,,,,,49.7,,
2026-09-07,2026-09-13,,,,,,,,1160000,,,0,기준선: AI 브리핑 누적 인용 116만(사용자 보고 2026-09-15). 주간 조회 캡처 대기. 사용자 체감 애드포스트 일 5~8천원
